Brief,Beleg,VK,Briefschreiber
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Kassel, [nach dem 19. August 1812].",wodurch auch etwas erspart werden wird,321,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 8. und 9. April 1811.","wie auf beikommender gedruckter Erklärung zu sehen
ist, die ausgetheilt worden ist",321,Wilhelm
,"auch liegt ein berg von briefen zur beantwortung vor mir, der abgethan sein will",321,
"Jacob Grimm an Haupt. Kassel, 16. Februar 1838",den ich freilich nicht nach kann weisen,Binnenspaltung,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 18. Mai 1814",weil er erst dem Corps Legislatif vor soll gelegt werden,Binnenspaltung,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, [19. März 1838].","die gespräche, worin über die einzelnen
sagen geurtheilt wird, hätten zwar weg können bleiben",Binnenspaltung,Jacob
"Wilhelm Grimm an Jacob Grimm. Halle, [13. Mai 1809].",Ich weiß nicht warum ich den Gedanken nicht los kann werden,Binnenspaltung,Wilhelm
Brief,Beleg,Typ (VPR/132/321),Autor
"Jacob Grimm an Wilhelm Grimm. Kassel, 17. Mai [1809].","daß ich ihr will einen einfachen Leichenstein setzen laßen, ",VPR,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 10. [September 1809].",die in alten Zeiten die Väter den Söhnen gern mögen zu Hand gegeben haben,VPR,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 24. bis 29. September [1809].","Wenn ich heut könnte bei euch seyn,",VPR,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [21. Juni 1812].",nur hätte das Stück ein wenig sollen beßer seyn,VPR,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.",der um den 10. 11. Jan. hätte dort müßen seyn,VPR,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 18. März 1815.","es war ein guter
Mann, der sichs in vielem hat schwer und sauer werden laßen",VPR,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 6. März 1826","und wie niemand alle tugenden haben kann, soll er auch nicht wollen fehlerlos 15 erscheinen",VPR,Jacob
"Jacob Grimm an Dorothea und Wilhelm Grimm. Berlin,
29. September 1841.","Statt in Heidelberg
so lange zu rasten hättet ihr sollen von Mannheim nach Strassburg und von
da mit der eisenbahn nach Basel fahren",VPR,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 4. April 1858",werde also das werk nicht können zu stande bringen,VPR,Jacob
"Wilhelm (und Jacob) Grimm an Henriette Philippine Zimmer.
Kassel, 10. Juni 1808.",wenn ich sie nicht so schön und ruhig hätte im Sarg gesehn,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [1. April 1809].",wiewohl ich nicht so lange werde bei ihr bleiben können,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [um den 4. August 1809]",daß du doch zu jener Meinung würdest Grund bei mir finden können,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, 21. und 22. April 1809.","wenn du gar nichts hast darauf geben wollen,",VPR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Berlin, 10. Oktober 1809. ","Wenn Sie Herrn Jacobs gesprochen so wird er Ihnen haben viel erzählen
können",VPR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Halle, 15. August 1809","bis ich Ihnen persönlich werde
die Hand dafür küssen können",VPR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 8. und 9. April 1811.",daß es nicht hat früher geschehen können,VPR,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel,
12. [und 13.] Juli [1811].","daß ich
20 so oft bin nach Haus gekommen ",VPR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Kassel, 16. [Juli] 1811.",daß die Lotte hat Salatstrünke einmachen laßen,VPR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 11. Mai 1812.","welches
hätte gefährlich werden können",VPR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 20. August [1813].","wozu der
Jacob hat Gevatter stehen müßen",VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 22. März 1814",ob er die Preße dafür sollte offen erhalten,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, [15. April 1814].",da ich mit Anfang des folgenden Monats muß hier geräumt haben,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel,
30. Januar bis 1. Februar 1815.",da der erstere hat es mehrmals angeboten,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Dresden, 13. Juni 1816.",weil für Ösers Tapetenarbeiten sollte Platz gemacht werden,VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 3. April 1817.","wie sie hernach vor
20 Traurigkeit würde mager geworden seyn",VPR,Wilhelm
"Wilhelm und Dorothea Grimm an Jacob Grimm. Göttingen, 13. Oktober 1831. ",daß die Stuben mußten sämmtlich gerieben werden,VPR,Wilhelm
"Wilhelm und Dorothea Grimm an Jacob Grimm. Göttingen,
13. Oktober 1831.","dagegen macht Hermann insofern eine Ausnahme, als er wieder einen kleinen Fieberanfall mit etwas Halsweh hat u. doch heute wird das Bett hüten müssen",VPR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, [2. April ? 1838].","einem auf diesem Wege das beste
könnte aus den Händen gezogen werden",VPR,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 25. April 1841","für 70 die knaben ist sogar ein besonderer spielplatz im thiergarten, der nicht darf in die anlagen gezogen werden",VPR,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 8. Mai 1841","aus dem bericht des prof. Preuß an 5 die academie, der von zwei mitgliedern der academie ist in das geheime archiv eingeführt worden ",VPR,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 9. [und 12. ?] August 1844. ","daß er eben deshalb lieber nach Süden hätte den weg einschlagen
sollen",VPR,Wilhelm
"Wilhelm Grimm an Haupt. Berlin, [3. Dezember 1846]",ich fügte hinzu daß Sie mit einer herausgabe v N. beschäftigt (an welcher auch Liliencron schon gearbeitet hat) mit einem schlage würden eine entscheidung abgeben können,VPR,Wilhelm
"Jacob Grimm an Henriette Philippine Zimmer.
 Paris, 13. Juli 1805.","denn ich habe hierher meine
Hefte nicht können mitnehmen",VR,Jacob
"Jacob Grimm an Wilhelm Grimm. Gotha, [29. Mai 1811].","daß wenn ich auf meiner vorhabenden Reise nach 40 Dresden noch nicht angekommen wäre, er den Brief ein Paar Tage möchte aufheben",VR,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 21. und 22. Oktober 1814.",weil aber die Abreisenden nur sehr wenig wollen mitnehmen,VR,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 1. März [1814].",daß Louis seinen Geburtstag noch bei euch wird zubringen,VR,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.","Den Stil soll man laßen gehen, wie er geht und kann",VR,Jacob
"Jacob Grimm an Hirzel. Berlin, [3. März 1855]",wenigstens will ich mirs so lassen einbin-den,VR,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 1. September 1856","doch das seltsame ‘mîn Muscapluot', mit dem sich dieser dich- ter oft selbst anredet, hätte ich nicht sollen zurückhalten",VR,Jacob
"Jacob Grimm an Hirzel. Berlin, 14. April [1862]. Montag",meinethalben hätten die schlegelschen briefe ungedruckt können bleiben,VR,Jacob
"Wilhelm Grimm an Jacob Grimm. Marburg, [7. September 1810].","daß ihn seine
70 Bildung immer mehr zum richtigern wird führen",VR,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Kassel, 20. Dezember 1811.",Wenn Sie uns das Rauchpulver wollen zuschicken,VR,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Dresden, 13. Juni 1816.",ob25 gleich verhältnißmäßig größerer Reichthum da soll seyn,VR,Wilhelm
"Wilhelm Grimm an Riedel. Berlin, [4. Juni 1844]","was Sie vorschlagen 'keine die deine wird sein' ist in dieser hinsicht die natürlichste, ",VR,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 17. Juli 1857",und der andere von der malabarischen küste hätte auch die weite reise nicht brauchen zu machen,VR,Wilhelm
